gps_time,lat,lon,lat_bd,lon_bd,speed,direction,located,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,satellites
2026-07-15 20:30:01,22.60493,113.865811,22.608215,113.877189,0.0,251,1,5248,15535,686,-22,207,-9,23
2026-07-15 20:30:06,22.604931,113.865811,22.608216,113.877189,0.0,251,1,4388,15484,3799,-1,46,15,22
2026-07-15 20:30:11,22.604932,113.865811,22.608217,113.877189,0.0,251,1,-4788,14732,-241,642,1040,1403,23
2026-07-15 20:30:16,22.60494,113.865804,22.608225,113.877182,0.0,251,1,927,17623,-6464,-367,364,-207,22
2026-07-15 20:30:21,22.604938,113.865806,22.608223,113.877184,0.0,251,1,5651,15544,2762,-27,-172,89,22
2026-07-15 20:30:26,22.60494,113.865805,22.608225,113.877183,0.0,251,1,7063,14755,2149,1,-5,-1,22
2026-07-15 20:30:31,22.604942,113.865806,22.608227,113.877184,0.0,251,1,6837,14847,2063,0,3,0,22
2026-07-15 20:30:36,22.604944,113.865805,22.608229,113.877183,0.0,251,1,6715,14867,2047,-5,0,11,22
2026-07-15 20:30:41,22.604946,113.865807,22.608231,113.877185,0.0,251,1,8298,14431,3203,83,-96,-25,22
2026-07-15 20:30:46,22.604947,113.865808,22.608232,113.877186,0.0,251,1,7716,13445,4554,5,-30,-3,23
2026-07-15 20:30:51,22.604948,113.865812,22.608233,113.87719,0.0,251,1,7402,13778,4737,824,-320,-285,23
2026-07-15 20:30:56,22.604948,113.865812,22.608233,113.87719,0.0,251,1,7927,12976,5852,-149,59,-53,23
2026-07-15 20:31:01,22.604949,113.865811,22.608234,113.877189,0.0,251,1,6963,13665,4280,-263,-364,136,23
2026-07-15 20:31:06,22.60495,113.865812,22.608235,113.87719,0.0,251,1,7290,13079,7022,6,0,-3,24
2026-07-15 20:31:11,22.60495,113.865812,22.608235,113.87719,0.0,251,1,4866,15565,2696,73,212,100,23
2026-07-15 20:31:16,22.604949,113.865809,22.608234,113.877187,0.0,251,1,4352,15797,1699,-1,-1,-1,22
2026-07-15 20:31:21,22.604949,113.865809,22.608234,113.877187,0.0,251,1,4430,15779,1705,-1,1,-2,23
2026-07-15 20:31:26,22.604949,113.865808,22.608234,113.877186,0.0,251,1,4469,15768,1694,0,2,1,24
2026-07-15 20:31:31,22.604949,113.865807,22.608234,113.877185,0.0,251,1,2289,16282,2017,7,-79,-42,23
2026-07-15 20:31:36,22.604954,113.865809,22.608239,113.877187,0.0,251,1,9748,13820,2920,41,-68,-161,23
2026-07-15 20:31:41,22.604928,113.865786,22.608213,113.877164,4.3,220,1,-209,16442,-170,28,10,103,23
2026-07-15 20:31:46,22.604883,113.865749,22.608167,113.877127,4.8,228,1,5155,14567,3047,22,-552,-365,23
2026-07-15 20:31:51,22.604858,113.865742,22.608142,113.87712,4.6,204,1,766,16826,1391,-24,196,147,24
2026-07-15 20:31:53,22.604838,113.865723,22.608122,113.877102,4.3,246,1,145,15890,266,83,818,421,25
2026-07-15 20:31:56,22.604811,113.865708,22.608095,113.877087,4.7,231,1,2988,16413,-6226,-235,-544,-376,25
2026-07-15 20:31:58,22.604786,113.865689,22.60807,113.877068,6.0,241,1,1559,15326,920,157,142,43,25
2026-07-15 20:32:03,22.604731,113.86561,22.608014,113.876989,7.2,243,1,3271,12796,-65,255,-195,-52,25
2026-07-15 20:32:05,22.604705,113.865584,22.607988,113.876963,7.2,209,1,4647,13038,1639,145,-19,-43,24
2026-07-15 20:32:10,22.604628,113.865541,22.607911,113.87692,5.7,202,1,2480,14809,2755,-371,669,122,24
2026-07-15 20:32:12,22.604602,113.865522,22.607885,113.876901,6.9,223,1,3378,17960,-2415,-110,-287,-48,24
2026-07-15 20:32:17,22.604533,113.865468,22.607815,113.876848,6.6,193,1,3024,16443,-3506,-435,240,15,24
2026-07-15 20:32:19,22.604504,113.865445,22.607786,113.876825,6.8,211,1,945,15035,-4924,-369,193,-61,24
2026-07-15 20:32:21,22.604483,113.865424,22.607765,113.876804,4.7,222,1,3274,14941,4160,-304,-148,-66,24
2026-07-15 20:32:24,22.604446,113.865391,22.607728,113.876771,5.8,210,1,5464,15695,-4321,-247,-903,-540,24
2026-07-15 20:32:29,22.604384,113.865347,22.607665,113.876727,5.1,205,1,2664,10591,9194,473,-1189,-426,24
2026-07-15 20:32:33,22.604339,113.865309,22.60762,113.876689,4.5,209,1,1708,15305,-925,2,-328,-202,24
2026-07-15 20:32:35,22.604318,113.865294,22.607599,113.876674,0.0,198,1,5493,12385,2939,-22,-719,-459,24
2026-07-15 20:32:37,22.604301,113.865275,22.607582,113.876656,4.2,186,1,1442,19736,3932,-91,-144,-80,24
2026-07-15 20:32:39,22.60428,113.865266,22.607561,113.876647,0.0,176,1,4499,15651,3707,-61,-663,-311,24
2026-07-15 20:32:44,22.604263,113.865242,22.607544,113.876623,0.0,176,1,3672,15983,1731,-2,-4,-3,24
2026-07-15 20:32:50,22.604257,113.865225,22.607537,113.876606,0.0,176,1,3359,16069,1463,-2,3,-2,23
2026-07-15 20:32:54,22.604255,113.865216,22.607535,113.876597,0.0,176,1,2842,16167,1485,-1,5,4,23
2026-07-15 20:32:59,22.604256,113.865202,22.607536,113.876583,0.0,176,1,3266,16063,1696,-6,-44,-16,24
2026-07-15 20:33:04,22.604257,113.865188,22.607537,113.876569,0.0,176,1,7010,14454,4719,-20,-177,-79,24
2026-07-15 20:33:09,22.604257,113.865177,22.607537,113.876558,0.0,176,1,6623,14254,5144,-16,-26,-6,23
2026-07-15 20:33:14,22.60426,113.865166,22.60754,113.876547,0.0,176,1,5900,14697,4317,25,-3,-3,25
2026-07-15 20:33:20,22.604264,113.865153,22.607544,113.876534,0.0,176,1,8037,12763,7324,120,67,-10,25
2026-07-15 20:33:24,22.604265,113.865143,22.607545,113.876524,0.0,176,1,6744,14115,5347,0,4,0,25
2026-07-15 20:33:29,22.604267,113.865133,22.607547,113.876514,0.0,176,1,6692,14170,5281,-1,-3,-2,25
2026-07-15 20:33:34,22.604269,113.865126,22.607549,113.876507,0.0,176,1,6646,14200,5204,0,3,2,25
2026-07-15 20:33:39,22.60427,113.865121,22.60755,113.876502,0.0,176,1,6669,14173,5235,-2,1,1,25
2026-07-15 20:33:44,22.604271,113.865116,22.607551,113.876497,0.0,176,1,6664,14206,5181,1,1,1,25
2026-07-15 20:33:49,22.604271,113.86511,22.607551,113.876491,0.0,176,1,6612,14262,5096,-1,-3,-1,25
2026-07-15 20:33:54,22.604271,113.865106,22.607551,113.876487,0.0,176,1,6718,14213,5127,0,-2,-1,26
2026-07-15 20:33:59,22.60427,113.865103,22.60755,113.876484,0.0,176,1,6671,14193,5143,23,-8,-14,26
2026-07-15 20:34:04,22.604269,113.865099,22.607549,113.87648,0.0,176,1,1322,16980,-1115,-39,-178,-52,26
2026-07-15 20:34:09,22.604264,113.86509,22.607543,113.876471,0.0,176,1,2559,15955,2354,54,271,136,26
2026-07-15 20:34:12,22.604253,113.865074,22.607532,113.876455,0.0,237,1,3929,15720,424,34,-591,-359,26
2026-07-15 20:34:17,22.60427,113.865075,22.607549,113.876456,0.0,237,1,-1025,17104,-2314,-63,775,381,26
2026-07-15 20:34:19,22.604284,113.865094,22.607563,113.876475,5.8,43,1,2050,13317,-2140,-234,151,72,26
2026-07-15 20:34:25,22.604336,113.865165,22.607616,113.876546,7.7,58,1,5430,16163,-6346,-292,364,49,25
2026-07-15 20:34:26,22.604347,113.865182,22.607627,113.876563,6.9,51,1,2041,19065,2664,72,-60,72,25
2026-07-15 20:34:29,22.604381,113.865218,22.607661,113.876599,6.1,50,1,1529,16332,2130,-58,239,96,25
2026-07-15 20:34:33,22.604426,113.865276,22.607707,113.876656,7.6,49,1,1732,15831,-1564,-62,-5,3,25
2026-07-15 20:34:38,22.604485,113.865356,22.607766,113.876736,6.5,50,1,3880,16091,57,-159,-181,-86,25
2026-07-15 20:34:43,22.604554,113.865432,22.607836,113.876812,7.0,48,1,2640,18604,603,501,-29,280,25
2026-07-15 20:34:47,22.604611,113.865497,22.607893,113.876877,6.4,64,1,3172,19038,-1683,59,426,326,25
2026-07-15 20:34:52,22.604672,113.865571,22.607955,113.87695,5.1,39,1,3771,16287,5109,190,-421,-98,25
2026-07-15 20:34:55,22.604715,113.865603,22.607998,113.876982,5.0,36,1,2083,17367,2108,43,111,72,26
2026-07-15 20:34:56,22.604725,113.865611,22.608008,113.87699,0.0,36,1,-1325,18066,4067,497,293,427,26
2026-07-15 20:34:59,22.60477,113.865633,22.608053,113.877012,4.8,41,1,-463,17146,443,-24,467,315,26
2026-07-15 20:35:01,22.604804,113.865652,22.608088,113.877031,6.9,33,1,4421,15591,3491,-116,-434,-386,26
2026-07-15 20:35:03,22.604835,113.86568,22.608119,113.877059,5.8,47,1,811,19317,1091,36,-64,62,26
2026-07-15 20:35:08,22.604884,113.865735,22.608168,113.877113,0.0,45,1,551,15941,2465,10,-73,-31,26
2026-07-15 20:35:11,22.604881,113.865771,22.608165,113.877149,6.2,105,1,2878,17536,4758,176,-170,-170,25
2026-07-15 20:35:14,22.604857,113.865818,22.608142,113.877196,5.5,94,1,1768,15546,3724,116,344,88,26
2026-07-15 20:35:15,22.604851,113.865832,22.608136,113.87721,6.0,130,1,1701,15882,8,-123,-811,-252,26
2026-07-15 20:35:19,22.604806,113.865882,22.608091,113.87726,5.7,124,1,4826,16143,4407,116,-156,-163,26
2026-07-15 20:35:22,22.604768,113.865894,22.608053,113.877272,4.2,165,1,4136,15724,2961,44,-333,-136,26
